pos,prk,name,team,bye,inj,age,exp,pts,value,lvalue,owner,bid,notes
RB,47,Jacquizz Rodgers,ATL,6,,23,2,102,,,,,quality backup
RB,48,Daryl Richardson,STL,11,,23,1,98,,,,,
RB,49,LaMichael James,SF,9,,23,1,98,,,,,
RB,50,Joique Bell,DET,9,,27,3,89,,,,,
RB,51,Daniel Thomas,MIA,6,,25,2,86,,,,,
RB,52,Kendall Hunter,SF,9,,24,2,80,,,,,deep
RB,53,Denard Robinson,JAX,9,,22,R,79,,,,,deep
RB,54,Marcel Reece    ,OAK,7,,28,5,79,,,,,bye
RB,55,Knile Davis,KC,10,,21,R,78,,,,,
RB,56,Fred Jackson,BUF,12,,32,7,74,,,,,
RB,57,Joseph Randle,DAL,11,,21,R,74,,,,,ssleeper
RB,58,Roy Helu  ,WAS,5,,24,2,72,,,,,
RB,59,Mike Gillislee,MIA,6,,22,R,72,,,,,
RB,60,Toby Gerhart,MIN,5,,26,3,71,,,,,
RB,61,Shonn Greene,TEN,8,,27,4,71,,,,,bust
RB,62,Mike Tolbert,CAR,4,,27,5,69,,,,,
RB,63,Ryan Williams  ,ARI,9,,23,2,64,,,,,ssleeper
RB,64,Knowshon Moreno,DEN,9,,26,4,63,,,,,
RB,65,Jonathan Stewart,CAR,4,,26,5,63,,,,,
RB,66,Kenjon Barner,CAR,4,,24,R,62,,,,,
RB,67,Bryce Brown,PHI,12,,22,1,59,,,,,
RB,68,Andre Ellington  ,ARI,9,,24,R,59,,,,,
RB,69,Evan Royster,WAS,5,,25,2,57,,,,,
RB,70,LaRod Stephens-Howling,PIT,5,,26,4,55,,,,,
RB,71,Justin Forsett,JAX,9,,27,5,54,,,,,
RB,72,Jonathan Dwyer,PIT,5,,24,3,53,,,,,deep
RB,73,Zac Stacy,STL,11,,22,R,52,,,,,
RB,74,Robert Turbin,SEA,12,,23,1,51,,,,,
RB,75,Christine Michael,SEA,12,,22,R,49,,,,,
RB,76,Lance Dunbar,DAL,11,,23,1,47,,,,,
RB,77,Donald Brown  ,IND,8,,26,4,46,,,,,
RB,78,Felix Jones,PHI,12,,26,5,45,,,,,
RB,79,Latavius Murray,OAK,7,,22,R,39,,,,,
RB,80,Brian Leonard,TB,5,,29,6,39,,,,,
RB,81,Jason Snelling,ATL,6,,29,6,36,,,,,
RB,82,James Casey,PHI,12,,28,4,33,,,,,
RB,83,DuJuan Harris,GB,4,,24,2,33,,,,,
RB,84,LeGarrette Blount,NE,10,,26,3,32,,,,,
RB,85,Peyton Hillis,TB,5,,27,5,32,,,,,
RB,86,Isaac Redman,PIT,5,,28,4,31,,,,,
RB,87,Rashad Jennings,OAK,7,,28,4,29,,,,,
RB,88,Jed Collins,NO,7,,27,,28,,,,,
RB,89,Le'Ron McClain,SD,8,,28,6,28,,,,,
RB,90,John Kuhn,GB,4,,30,7,27,,,,,
RB,91,Dion Lewis,CLE,10,,22,2,26,,,,,
RB,92,Montario Hardesty,CLE,10,,26,3,25,,,,,
RB,93,Anthony Dixon,SF,9,,25,3,24,,,,,
RB,94,Stepfan Taylor  ,ARI,9,,22,R,23,,,,,
RB,95,Tashard Choice,BUF,12,,28,5,23,,,,,
RB,96,Bilal Powell  ,NYJ,10,,24,2,23,,,,,
RB,97,Shaun Draughn,KC,10,,25,2,22,,,,,
RB,98,Delone Carter,IND,8,,26,2,20,,,,,
RB,99,Taiwan Jones,OAK,7,,25,2,20,,,,,
RB,100,Leon Washington,NE,10,,30,7,19,,,,,
RB,101,Da'Rel Scott,NYG,9,,25,2,18,,,,,
RB,102,Joe McKnight  ,NYJ,10,,25,3,18,,,,,
RB,103,Ronnie Brown,SD,8,,31,8,16,,,,,
RB,104,Cyrus Gray,KC,10,,23,1,15,,,,,
RB,105,Chris Ogbonnaya,CLE,10,,27,4,14,,,,,
RB,106,Michael Smith,TB,5,,24,1,14,,,,,
RB,107,Greg Jones,HOU,8,,32,9,13,,,,,
RB,108,Terrance Ganaway,STL,11,,24,1,12,,,,,
RB,109,Jacob Hester,DEN,9,,28,5,11,,,,,
RB,110,Brandon Bolden,NE,10,,23,1,9,,,,,
RB,111,Henry Hynoski,NYG,9,,24,,9,,,,,
RB,112,Phillip Tanner,DAL,11,,24,2,9,,,,,
RB,113,Jeremiah Johnson,DEN,9,,26,4,7,,,,,
RB,114,Deji Karim,HOU,8,,26,3,7,,,,,
RB,115,Lance Ball,DEN,9,,28,5,7,,,,,
RB,116,Alex Green,GB,4,,25,2,7,,,,,
RB,117,Darius Reynaud,TEN,8,,26,5,6,,,,,
RB,118,James Starks,GB,4,,27,3,5,,,,,
RB,119,Cedric Peerman,CIN,12,,26,4,5,,,,,
RB,120,John Griffin,NYJ,10,,,1,2,,,,,
WR,1,Calvin Johnson,DET,9,,27,6,308,,,,,
WR,2,Dez Bryant,DAL,11,,24,3,281,,,,,
WR,3,Julio Jones,ATL,6,,24,2,264,,,,,
WR,4,A.J. Green  ,CIN,12,,25,2,249,,,,,
WR,5,Brandon Marshall,CHI,8,,29,7,239,,,,,
WR,6,Larry Fitzgerald,ARI,9,,29,9,236,,,,,
WR,7,Randall Cobb  ,GB,4,,22,2,235,,,,,
WR,8,Demaryius Thomas,DEN,9,,25,3,232,,,,,
WR,9,Roddy White,ATL,6,,31,8,218,,,,,
WR,10,Andre Johnson,HOU,8,,32,10,218,,,,,
WR,11,Victor Cruz,NYG,9,,26,3,217,,,,,
WR,12,Jordy Nelson  ,GB,4,,28,5,204,,,,,
WR,13,Danny Amendola  ,NE,10,,27,5,202,,,,,
WR,14,Hakeem Nicks    ,NYG,9,,25,4,201,,,,,
WR,15,Vincent Jackson,TB,5,,30,8,201,,,,,
WR,16,Eric Decker  ,DEN,9,,26,3,198,,,,,
WR,17,Marques Colston  ,NO,7,,30,7,195,,,,,
WR,18,Antonio Brown,PIT,5,,25,3,194,,,,,
WR,19,Dwayne Bowe,KC,10,,28,6,191,,,,,
WR,20,Torrey Smith,BAL,8,,24,2,189,,,,,
