pos,prk,name,team,bye,inj,age,exp,pts,value,lvalue,owner,bid,notes
K,10,Mason Crosby,GB,4,,28,6,131,,,,,
K,11,Steven Hauschka,SEA,12,,28,5,130,,,,,
K,12,Randy Bullock,HOU,8,,23,1,129,,,,,
K,13,David Akers,DET,9,,38,15,121,,,,,
K,14,Greg Zuerlein,STL,11,,25,1,119,,,,,
K,15,Adam Vinatieri,IND,8,,40,17,118,,,,,
K,16,Kai Forbath,WAS,5,,25,2,117,,,,,
K,17,Mike Nugent,CIN,12,,31,8,117,,,,,
K,18,Josh Brown,NYG,9,,34,10,114,,,,,
K,19,Lawrence Tynes,---,0,,35,12,113,,,,,
K,20,Ryan Succop,KC,10,,26,4,111,,,,,
K,21,Shaun Suisham,PIT,5,,31,8,110,,,,,
K,22,Shayne Graham,CLE,10,,35,13,109,,,,,
K,23,Nick Novak,SD,8,,31,8,108,,,,,
K,24,Rob Bironas,TEN,8,,35,12,105,,,,,
K,25,Dan Carpenter,MIA,6,,27,5,105,,,,,
K,26,Alex Henery,PHI,12,,25,2,105,,,,,
K,27,Robbie Gould,CHI,8,,30,8,104,,,,,
K,28,Graham Gano,CAR,4,,26,4,101,,,,,
K,29,Jay Feely,ARI,9,,37,14,99.4,,,,,
K,30,Rian Lindell,BUF,12,,36,13,96,,,,,
K,31,Josh Scobee,JAX,9,,31,9,95,,,,,
K,32,Nick Folk,NYJ,10,,28,6,94,,,,,
K,33,Justin Medlock,---,0,,29,6,44,,,,,
K,34,Billy Cundiff,---,0,,33,11,29,,,,,
DEF,1,Seattle Defense,SEA,12,,,,145,,,,,
DEF,2,Denver Defense,DEN,9,,,,137,,,,,
DEF,3,Chicago Defense,CHI,8,,,,136,,,,,
DEF,4,San Fran Defense,SF,9,,,,131,,,,,
DEF,5,New England Defense,NE,10,,,,130,,,,,
DEF,6,Cincinnati Defense,CIN,12,,,,125,,,,,
DEF,7,Houston Defense,HOU,8,,,,125,,,,,
DEF,8,St. Louis Defense,STL,11,,,,124,,,,,
DEF,9,Green Bay Defense,GB,4,,,,121,,,,,
DEF,10,Baltimore Defense,BAL,8,,,,117,,,,,
DEF,11,Arizona Defense,ARI,9,,,,116,,,,,
DEF,12,Pittsburgh Defense,PIT,5,,,,116,,,,,
DEF,13,Ny Giants Defense,NYG,9,,,,114,,,,,
DEF,14,Tampa Bay Defense,TB,5,,,,108,,,,,
DEF,15,Cleveland Defense,CLE,10,,,,107,,,,,
DEF,16,Dallas Defense,DAL,11,,,,107,,,,,
DEF,17,Miami Defense,MIA,6,,,,106,,,,,
DEF,18,Minnesota Defense,MIN,5,,,,102,,,,,
DEF,19,Atlanta Defense,ATL,6,,,,100,,,,,
DEF,20,Buffalo Defense,BUF,12,,,,100,,,,,
DEF,21,Ny Jets Defense,NYJ,10,,,,99,,,,,
DEF,22,Philadelphia Defense,PHI,12,,,,98,,,,,
DEF,23,San Diego Defense,SD,8,,,,98,,,,,
DEF,24,Washington Defense,WAS,5,,,,98,,,,,
DEF,25,Kansas City Defense,KC,10,,,,97,,,,,
DEF,26,Detroit Defense,DET,9,,,,96,,,,,
DEF,27,New Orleans Defense,NO,7,,,,96,,,,,
DEF,28,Carolina Defense,CAR,4,,,,95,,,,,
DEF,29,Indianapolis Defense,IND,8,,,,91,,,,,
DEF,30,Tennessee Defense,TEN,8,,,,89,,,,,
DEF,31,Jacksonville Defense,JAX,9,,,,73,,,,,
DEF,32,Oakland Defense,OAK,7,,,,72,,,,,
